received_at,session,participant,event_time,rel_ms,view,event,props,user_agent
7/31/2026,sms90vgft3ah87,,7/31/2026,3,view-home,view_enter,"{""view"":""view-home"",""label"":""Home""}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,10205,view-home,idle,"{""view"":""view-home"",""ms"":9715}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,18295,view-home,idle,"{""view"":""view-home"",""ms"":8090}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,26393,view-home,idle,"{""view"":""view-home"",""ms"":8098}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,34444,view-home,idle,"{""view"":""view-home"",""ms"":8051}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,42500,view-home,idle,"{""view"":""view-home"",""ms"":8056}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,50536,view-home,idle,"{""view"":""view-home"",""ms"":8036}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,58591,view-home,idle,"{""view"":""view-home"",""ms"":8055}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,66663,view-home,idle,"{""view"":""view-home"",""ms"":8072}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,74847,view-home,idle,"{""view"":""view-home"",""ms"":8183}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,82974,view-home,idle,"{""view"":""view-home"",""ms"":8127}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,91031,view-home,idle,"{""view"":""view-home"",""ms"":8056}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,99062,view-home,idle,"{""view"":""view-home"",""ms"":8031}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,107109,view-home,idle,"{""view"":""view-home"",""ms"":8046}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,115146,view-home,idle,"{""view"":""view-home"",""ms"":8037}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,123192,view-home,idle,"{""view"":""view-home"",""ms"":8046}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,131264,view-home,idle,"{""view"":""view-home"",""ms"":8072}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,139416,view-home,idle,"{""view"":""view-home"",""ms"":8151}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,147473,view-home,idle,"{""view"":""view-home"",""ms"":8056}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,155512,view-home,idle,"{""view"":""view-home"",""ms"":8038}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,163584,view-home,idle,"{""view"":""view-home"",""ms"":8072}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,171603,view-home,idle,"{""view"":""view-home"",""ms"":8019}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,179685,view-home,idle,"{""view"":""view-home"",""ms"":8082}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,187738,view-home,idle,"{""view"":""view-home"",""ms"":8052}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,195806,view-home,idle,"{""view"":""view-home"",""ms"":8067}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,203856,view-home,idle,"{""view"":""view-home"",""ms"":8049}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,211904,view-home,idle,"{""view"":""view-home"",""ms"":8048}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,219942,view-home,idle,"{""view"":""view-home"",""ms"":8038}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,228003,view-home,idle,"{""view"":""view-home"",""ms"":8061}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,236055,view-home,idle,"{""view"":""view-home"",""ms"":8050}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,244106,view-home,idle,"{""view"":""view-home"",""ms"":8051}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
7/31/2026,sms90vgft3ah87,,7/31/2026,252160,view-home,idle,"{""view"":""view-home"",""ms"":8054}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
