"NEW_SKU","ITEMCODE","BRAND_NAME","WEBDESC","MODEL_DESCRIPTION","REPURCHASE_PRICE"
259880,"AJD10AD","AJA","D10AD Analog to Digital Video Converter (Encoder)","D10AD Analog to Digital Video Converter (Encoder)",
1288042,"ARK0.0001090","ARRI","AMIRA Camera Set, Eco","AMIRA Camera Set (Economical)",0
204182,"ANPTM","Anton/Bauer","PowerTap Multi","PowerTap Multi 1-MALE TO 4-FEMALES",0
69174,"ANDPP14","Anton/Bauer","Digital ProPac14 Nickel Cadmium Battery","Digital ProPac14 Nickel Cadmium Battery",0
250505,"ANTT2","Anton/Bauer","T2 2-Position Charger and 70-watt AC Power","Titan 2 2-Position Charger and 70-watt AC Power",0
87268,"AUATR55","Audio-Technica","ATR55 Dual-Pattern Shotgun Microphone","ATR55 Dual-Pattern Shotgun Microphone",0
68270,"AUAT831B","Audio-Technica","AT831b Cardioid Condenser Lavalier Microphone","AT831B - Mini Clip-On Mic",75
97711,"AUAT8035","Audio-Technica","AT8035 Long Shotgun Microphone","AT8035 - Shotgun Microphone",85
3646,"AZECZ990","Azden","ECZ-990 Supercardioid Shotgun Mic","ECZ-990 - Super-Cardioid Shotgun Mic",15
3654,"AZWHXPRO","Azden","WHX-PRO VHF Camera-Mount Wireless Cardioid Handheld Microphone System (169 & 170 MHz)","WHX-Pro VHF Handheld System",0
3660,"AZWMTPRO","Azden","WM/T-PRO Handheld Mic/Transmitter","WM/T-Pro Handheld Mic/Transmitter",25
497310,"AZSGMPDII","Azden","SGM-PDII Short Shotgun Microphone with Hardwired XLR Cable","SGM-PDII On-Camera Short Shotgun Microphone",41
153065,"BEMPL635","Bescor","MPL-635 12v DC Light with Barndoors","MPL-635 12v DC Light with Barndoors",0
576021,"BELED35","Bescor","LED-35 LED On Camera Light","LED-35 LED On Camera Light",0
656981,"BELED150","Bescor","LED-150 150W Dimmable LED Video Light","LED-150 150W Dimmable LED Video Light",0
284435,"BRB1A","Bracket 1","A2 On-Camera Universal Wireless Receiver Mount","Universal On Camera Wireless Receiver Mount",
397663,"CA7030045ISQ","Canon","EF 70-300mm f/4-5.6 IS USM Lens","70-300mm f/4-5.6 EF IS USM Autofocus Lens",160
169269,"CA753004USM3","Canon","EF 75-300mm f/4-5.6 III USM Lens","75-300mm f/4.0-5.6 III USM Autofocus Lens",50
486708,"CA163528LEF2","Canon","EF 16-35mm f/2.8L II USM Lens","16-35 f/2.8L EF ""II"" USM Autofocus Lens",310
398016,"CABGE4","Canon","BG-E4 Vertical Grip/Battery Holder","BG-E4 Vertical Grip/Battery Holder f/EOS 5D",12
194480,"CAMR14EX","Canon","MR-14EX TTL Macro Ring Lite Flash","MR-14EX TTL Macro Ring Lite Flash",125
347909,"CAPSS70","Canon","PowerShot S70 Digital Camera","PowerShot S70 Digital Camera",0
583955,"CAPSG10","Canon","PowerShot G10 Digital Camera (Black)","PowerShot G10 Digital Camera (Black)",170
584437,"CAPSSX10","Canon","PowerShot SX10 IS Digital Camera","PowerShot SX10 IS Digital Camera (Black)",60
605234,"CAPSSD970","Canon","PowerShot SD970 IS Digital Camera","PowerShot SD970 IS Digital Camera",30
279245,"CAVFL1","Canon","VFL-1 Light and Flash - Canon Camcorders","VFL-1 Light and Flash - Canon Camcorders",0
297500,"CAEDR","Canon","EOS Digital Rebel Digital Camera (Camera Body)","EOS Digital Rebel Digital Camera (Camera Body)",
542177,"CAEDRXSIB","Canon","EOS Rebel XSi Digital Camera (a.k.a. 450D) (Black) (Camera Body)","EOS Rebel XSi SLR Digital Camera (Black)",45
123185,"CAE1Q","Canon","EOS-1 35mm SLR Autofocus Camera Body","EOS 1 35mm SLR Autofocus Camera Body",110
550722,"CAPSSD890","Canon","PowerShot SD890 IS Digital Elph Digital Camera","PowerShot SD890 IS Digital Elph Camera",80
12060,"CA10030056LE","Canon","Zoom Telephoto EF 100-300mm f/5.6L Autofocus Lens","100-300 f/5.6L Autofocus Lens",95
12083,"CA203528LEF","Canon","Zoom Wide Angle 20-35mm f/2.8 L EF Autofocus Lens","20-35 f/2.8 L EF Autofocus Lens",175
12114,"CA351354EF","Canon","Zoom Wide Angle-Telephoto 35-135mm f/4-5.6 EF (USM) Autofocus Lens","35-135 f/4-5.6 EF (USM) Autofocus Lens",50
12107,"CA3004LEF","Canon","Telephoto 300mm f/4.0L EF USM Auto Focus Lens","300mm f/4 L EF USM Auto Focus Lens",330
129190,"CA20028LEF2","Canon","EF 200mm f/2.8L II USM Lens","200mm f/2.8L II USM Autofocus Lens",260
92093,"CA7530042EF","Canon","Zoom Telephoto 75-300mm f/4-5.6 EF II (USM) Autofocus Lens","75-300mm f/4-5.6 EF II (USM) Autofocus Lens",65
165668,"CA288028LEF","Canon","Zoom Wide Angle-Tele 28-80mm f/2.8-4L EF USM Auto Focus Lens","28-80 f/2.8-4L EF USM Auto Focus Lens",225
201377,"CADM50","Canon","DM-50 Directional Stereo Microphone","DM-50 Directional Stereo Microphone",18
605219,"CAPSSX200B","Canon","PowerShot SX200 IS Digital Camera (Black)","PowerShot SX200 IS Digital Camera ",80
479200,"CAPSA460","Canon","PowerShot A460 Digital Camera","PowerShot A460 Digital Camera",0
354004,"CAE1DS2","Canon","EOS-1DS Mark II Digital Camera (Camera Body)","EOS 1Ds Mark II Digital Camera (Camera Body)",180
423778,"CAE30D1855","Canon","EOS 30D Digital Camera with Canon EF-S 18-55mm Lens","EOS 30D Digital SLR with Canon EF-S 18-55 Lens",0
647011,"CA10028LMIS","Canon","EF 100mm f/2.8L Macro IS USM Lens","100mm f/2.8 L Macro IS USM Lens",350
371194,"CAEDRXTKS","Canon","EOS Digital Rebel XT (a.k.a. 350D)Digital Camera (Silver) w/ 18-55mm Lens","EOS Digital Rebel XT (a.k.a. 350D) Body w/ 18-55mm Lens",80
206444,"CAEE7E2890K","Canon","EOS Elan 7E 35mm SLR with 28-90 USM Lens Kit","EOS Elan 7E 35mm SLR with 28-90 USM Lens Kit",150
112541,"CA18035MLEF","Canon","EF 180mm f/3.5L Macro USM Lens","180mm f/3.5L Macro USM Autofocus Lens",350
12127,"CA40028LEF","Canon","Super Telephoto 400mm f/2.8 L EF (USM) Autofocus Lens","400mm f/2.8L EF LENS (USM)",1600
12066,"CA1428LEF","Canon","Super Wide Angle EF 14mm f/2.8L USM Autofocus Lens","14mm f/2.8L USM Autofocus Lens",275
239656,"CAMT24EX","Canon","MT-24EX Macro Twin Lite Flash","MT-24EX Macro Twin Lite Ringlite Flash",175
519474,"CA1428LEF2","Canon","EF 14mm f/2.8L II USM Lens","14mm f/2.8L ""II"" USM Autofocus Lens",350
286326,"CAPSG5","Canon","PowerShot G5 Digital Camera","PowerShot G5 Digital Camera",60
129188,"CA3004LISEF","Canon","EF 300mm f/4L IS USM Lens","300mm f/4 L IS USM Autofocus Lens",400
543923,"CA552504IS","Canon","EF-S 55-250mm f/4-5.6 IS II Lens","55-250 f/4-5.6 IS ""II"" EF-S Lens for Digital SLR ",75
656378,"CAE1D4","Canon","EOS 1D Mark IV SLR Digital Camera (Body Only)","EOS 1D Mark IV SLR Digital Camera",330
597421,"CAFS200R","Canon","FS200 Flash Memory Camcorder (Sunrise Red)","FS200 Flash Memory Camcorder (Sunrise Red)",25
671657,"CAHFS20","Canon","VIXIA HF S20 Dual Flash Memory Camcorder","VIXIA HF S20 Dual Flash Memory Camcorder",110
671659,"CAHFS21","Canon","VIXIA HF S21 Dual Flash Memory Camcorder","VIXIA HF S21 Dual Flash Memory Camcorder",100
539224,"CAFS100S","Canon","FS-100 Flash Memory Camcorder (Silver)","FS-100 Flash Memory Camcorder (Silver)",0
643182,"CAPSSX120","Canon","PowerShot SX120 IS Digital Camera","PowerShot SX120 IS Digital Camera",90
597442,"CAHF200","Canon","VIXIA HF200 Flash Memory High Definition Camcorder ","VIXIA HF200 Flash Memory High Definition Camcorder ",60
597366,"CAFS22","Canon","FS22 Dual Flash Memory Camcorder ","FS22 Dual Flash Memory Camcorder ",25
643198,"CAPSSD980S","Canon","PowerShot SD980 IS Digital Camera (Silver)","PowerShot SD980 IS Digital Camera",30
751246,"CAWDH342","Canon","WD-H34 II 34mm 0.7x Wide Angle Converter Lens","WD-H34 II 34mm 0.7x Wide Angle Converter Lens",0
485491,"CATLH43","Canon","TL-H43 43mm 1.7x Telephoto Lens","TL-H43 43mm 1.7x Telephoto Lens",35
606803,"CA174LTSE","Canon","TS-E 17mm f/4L Tilt-Shift Lens","17mm f/4L Tilt/Shift TS-E Manual Focus Lens for EOS",850
732107,"CA8154L","Canon","EF 8-15mm f/4L Fisheye USM Lens","8-15mm f/4 L Fisheye USM FUltra-Wide Zoom Lens",500
749197,"CAHFR200","Canon","VIXIA HF R200 Flash Memory Camcorder","VIXIA HF R200 Flash Memory Camcorder",0
749202,"CAHFR20S","Canon","VIXIA HF R20 Flash Memory Camcorder (Silver)","VIXIA HF R20 Flash Memory Camcorder (Silver)",0
749190,"CAHFG10","Canon","VIXIA HF G10 Flash Memory Camcorder","VIXIA HF G10 Flash Memory Camcorder",185
838762,"CAPSE110S","Canon","PowerShot ELPH 110 HS Digital Camera (Silver)","PowerShot ELPH 110 HS Digital Camera",110
605229,"CAPSD10","Canon","PowerShot D10 Digital Camera","PowerShot D10 Digital Camera",0
816713,"CAPSE310S","Canon","PowerShot ELPH 310 HS Digital Camera (Silver)","PowerShot ELPH 310 HS Digital Camera ",120
838775,"CAHFR32","Canon","VIXIA HF R32 Full HD Camcorder","VIXIA HF R32 Full HD Camcorder",45
732111,"CA2XEF3","Canon","Extender EF 2X III","2x EF Extender III",130
838758,"CAPSE520S","Canon","PowerShot ELPH 520 HS Digital Camera (Silver)","PowerShot ELPH 520 HS Digital Camera",110
842850,"CAPSA4000S","Canon","PowerShot A4000 IS Digital Camera (Silver)","PowerShot A4000 IS Digital Camera",0
838776,"CAHFR300","Canon","VIXIA HF R300 Full HD Camcorder","VIXIA HF R300 Full HD Camcorder",60
